Role,Territory,Primary Agreement,Subsequent Agreements,Local Agreements,Region
Conductor,Aldershot,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,AldershotLocals.pdf,East
Conductor,Belleville,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,BellevilleLocals.pdf,East
Conductor,Brandon,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Calgary,TCRC_West_Agreement_4_3_EN.pdf,,CalgaryLocals.pdf,West
Conductor,Campbellton,TCRC_Transp_Employees_NBET_QET_EN.pdf,TCRC_East_Agreement_4_16_EN.pdf,,East
Conductor,Canora,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Capreol,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,CapreolLocals.pdf,East
Conductor,Chambord,TCRC_Conductors_NQT_EN.pdf,,,East
Conductor,Chetwynd,TCRC_BCRail_Agreement.pdf,,BCRLocals.pdf,West
Conductor,Dauphin,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Edmonton,TCRC_West_Agreement_4_3_EN.pdf,,EdmontonLocals.pdf,West
Conductor,Edmundston,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Edson,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Fort Frances,TCRC_West_Agreement_4_3_EN.pdf,,,East
Conductor,Fort St. John,TCRC_BCRail_Agreement.pdf,,BCRLocals.pdf,West
Conductor,Garneau,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,GarneauLocals.pdf,East
Conductor,Garneau (NQ),TCRC_Conductors_NQT_EN.pdf,,,East
Conductor,Grande Cache,UNIFOR_SAR_Agreement_EN.pdf,,,West
Conductor,Grande Prairie,UNIFOR_SAR_Agreement_EN.pdf,,,West
Conductor,Halifax,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,High Level,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Hornepayne,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Humboldt,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Jasper,TCRC_West_Agreement_4_3_EN.pdf,,JasperLocals.pdf,West
Conductor,Joffre 10,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Joffre 11,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Kamloops,TCRC_West_Agreement_4_3_EN.pdf,,KamloopsLocals.pdf,West
Conductor,Kelowna,KPR_Collective_Agreement_EN.pdf,TCRC_West_Agreement_4_3_EN.pdf,,West
Conductor,Kitchener,TCRC_GEXR_Agreement_EN.pdf,,,East
Conductor,Lac La Biche,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,London,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,LondonLocals.pdf,East
Conductor,McLennan,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Melville,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Moncton,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,MonctonLocals.pdf,East
Conductor,Mont Joli,TCRC_Transp_Employees_NBET_QET_EN.pdf,TCRC_East_Agreement_4_16_EN.pdf,,East
Conductor,Montreal,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,MontrealLocals.pdf,East
Conductor,North Battleford,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,North Vancouver,TCRC_BCRail_Agreement.pdf,,BCRLocals.pdf,West
Conductor,Ottawa,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Oshawa,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Port Robinson,TCRC_East_Agreement_4_16_EN.pdf,TCRC_East_Addenda_4_16_EN.pdf,,East
Conductor,Prince George (BCR),TCRC_BCRail_Agreement.pdf,,BCRLocals.pdf,West
Conductor,Prince George (CN),TCRC_West_Agreement_4_3_EN.pdf,,PrinceGeorgeCNLocals.pdf,West
Conductor,Regina,TCRC_West_Agreement_4_3_EN.pdf,,,West
Conductor,Roma Junction,TCRC_West_Agreement_4_3_EN.pdf,,,West
